county,county_fips,agency_type,agency_name,street,city
Cattaraugus,36009,ambulance_als,"Little Valley Volunteer Fire Department, Inc.",101 Third Street,"Little Valley, NY 14755"
Cattaraugus,36009,ambulance_als,Machias Fire District,PO Box 315,"Machias, NY 14101"
Cattaraugus,36009,ambulance_als,"Olean Fire Department, City of",542 North Union Street,"Olean, NY 14760"
Cattaraugus,36009,ambulance_als,Otto Fire District,PO Box 42,"Otto, NY 14766"
Cattaraugus,36009,ambulance_als,Portville Fire District,P.O. Box 740,"Portville, NY 14770"
Cattaraugus,36009,ambulance_als,Randolph Regional EMS Corporation,PO Box 122,"Randolph, NY 14772"
Cattaraugus,36009,ambulance_als,"Salamanca Ambulance Service, City of",225 Wildwood Ave,"Salamanca, NY 14779"
Cattaraugus,36009,ambulance_als,Seneca EMS,12879 Route 438,"Irving, NY 14081"
Cattaraugus,36009,ambulance_als,"South Dayton Volunteer Fire Company No. 1, Inc.",PO Box 88,"South Dayton, NY 14138"
Cattaraugus,36009,ambulance_als,"Trans Am Ambulance Services, Inc.",305 N 8th Street,"Olean, NY 14760"
Cattaraugus,36009,ambulance_als,"West Valley Volunteer Hose Co., Inc.",PO Box 49,"West Valley, NY 14171"
Cattaraugus,36009,ambulance_als,Westons Mills Fire District,PO Box 601,"Westons Mills, NY 14788"
Cattaraugus,36009,ambulance_als,Yorkshire Fire District,PO Box 145,"Yorkshire, NY 14173"
Cayuga,36011,ambulance_als,Auburn City Ambulance,23 Market Street,"Auburn, NY 13021"
Cayuga,36011,ambulance_als,Aurora Ledyard Fire District,PO Box 171,"Aurora, NY 13026"
Cayuga,36011,ambulance_als,"Cato, Ira, Meridian, Victory Ambulance Corps, Inc.",2496 West Main St,"Cato, NY 13033"
Cayuga,36011,ambulance_als,"Cayuga Fire Department, Village of",PO Box 315,"Cayuga, NY 13034"
Cayuga,36011,ambulance_als,"Fair Haven Ambulance, Village of",P.O. Box 614,"Fair Haven, NY 13064"
Cayuga,36011,ambulance_als,"Fleming Ambulance No. 1, Inc.",6063 West Lake Road,"Auburn, NY 13021"
Cayuga,36011,ambulance_als,"Four Town First Aid Squad, Inc.",PO Box 28,"Moravia, NY 13118"
Cayuga,36011,ambulance_als,"Owasco Fire Department, Inc.",7174 Owasco Road,"Auburn, NY 13021"
Cayuga,36011,ambulance_als,Port Byron Fire Department,PO Box 367,"Port Byron, NY 13140"
Cayuga,36011,ambulance_als,"Southern Cayuga Instant Aid, Inc.",PO Box 7,"Poplar Ridge, NY 13139"
Cayuga,36011,ambulance_als,Throop Fire District,7159 Beech Tree Road,"Auburn, NY 13021"
Cayuga,36011,ambulance_als,"World Racing Group, Inc.",PO Box 240,"Weedsport, NY 13166"
Chautauqua,36013,ambulance_als,"Ashville Fire Department, Inc.",5338 Stow Rd.,"Ashville, NY 14710"
Chautauqua,36013,ambulance_als,"Bemus Point Volunteer Fire Department, Village of",PO Box 306,"Bemus Point, NY 14712"
Chautauqua,36013,ambulance_als,"Brocton Fire Department, Village of",PO Box 547,"Brocton, NY 14716"
Chautauqua,36013,ambulance_als,"Busti Fire Department, Inc.",886 Mill Road,"Jamestown, NY 14701"
